"y","a","H_star","tau_dot_M","phi_dot_M","r","phi_dot_E","Q","b"
2020,4,89,0.0681672830788658,0,0.242703115515084,0.0234770824778869,0.848540620846096,2016
2020,5,424,0.111126070035534,0.00652949968544577,0.925309093593991,0.0289938316627499,0.992530909248101,2015
2020,6,0,0,0,1,0,1,2014
2021,4,121,0.0937998344194301,0,0.328342126290845,0.16918360342354,0.865668423256472,2017
2021,5,93,2.41463776233748e-05,0.234546558536973,1,0.0752369779058795,1,2016
2021,6,5,0,0,1,0.000127235335310284,1,2015
2022,4,339,0.0273691695434155,0,0.440035745006412,0.0774142641518511,0.88595868049385,2018
2022,5,142,0.0270144424525632,0,1,0.302259262944436,1,2017
2022,6,4,0,0,1,0,1,2016
2023,4,47,0.0612515055753961,0,0.807728104070198,0.0761393798314384,0.96096000123939,2019
2023,5,426,0.0103246246046716,0.0339745018768843,0.954272375480925,0.22578586842623,0.995427237479953,2018
2023,6,25,0,0,1,0,1,2017
2024,4,9,0.110098980460761,0,0.362194226660546,0,0.870496223692656,2020
2024,5,6,0.312350491897427,0.00049900068216046,0.961927678492893,0.00139680839871748,0.996192767792557,2019
2024,6,60,0,4.14865980964785e-05,1,0.000144748099289118,1,2018
